FLIGHT_ID,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,AIRCRAFT_TYPE,CLASS
736,6725,13198,11292,2017,619,F
737,6725,14492,11292,2017,614,F
738,6003,10693,11292,2017,677,F
739,6460,11109,14771,2017,698,F
740,6460,14771,11109,2017,698,F
741,6200,11292,13796,2017,740,G
742,6904,11292,12012,2017,675,F
743,6904,12012,11292,2017,675,F
744,6904,12094,11292,2017,675,F
745,6035,10466,11109,2017,698,F
746,6035,11109,10466,2017,698,F
747,6035,11109,12889,2017,655,F
748,6035,11921,12892,2017,698,F
749,6035,12889,11109,2017,655,F
750,6035,12892,11921,2017,698,F
751,1158,10643,11292,2017,675,F
752,1158,11292,10643,2017,675,F
753,6700,11292,11003,2017,629,F
754,6700,11292,11648,2017,673,F
755,6700,11292,13851,2017,629,F
756,6700,11292,13851,2017,631,F
757,6700,11648,11292,2017,673,F
758,6700,11921,11292,2017,631,F
759,6700,13264,11292,2017,673,F
760,0A875,10821,11292,2017,694,F
761,0A875,11292,12339,2017,694,F
762,0A875,11292,14057,2017,614,F
763,0A875,11433,11292,2017,694,F
764,0A875,11603,11292,2017,694,F
765,0A875,12339,11292,2017,694,F
766,0A875,13485,11292,2017,694,F
767,6725,11292,10397,2017,619,F
768,6725,11292,10529,2017,614,F
769,6725,12339,11292,2017,614,F
770,6725,13487,11292,2017,614,F
771,6725,14683,11292,2017,619,F
772,6460,11292,11278,2017,698,F
773,6910,14730,11292,2017,622,G
774,6700,11066,11292,2017,673,F
775,6700,11292,10800,2017,629,F
776,6700,11292,11066,2017,673,F
777,6700,11292,15376,2017,673,F
778,6700,15016,11292,2017,629,F
779,0A875,10529,11292,2017,694,F
780,0A875,11292,10821,2017,694,F
781,0A875,11292,11423,2017,694,F
782,0A875,11292,11775,2017,614,F
783,0A875,11292,14262,2017,698,F
784,0A875,11423,11292,2017,694,F
785,0A875,12264,11292,2017,694,F
786,0A875,13495,11292,2017,634,F
787,0A875,13891,11292,2017,634,F
788,0A875,14262,11292,2017,698,F
789,6725,11292,11042,2017,612,F
790,6725,11292,12889,2017,619,F
791,6725,11292,13487,2017,614,F
792,6725,11292,14730,2017,612,F
793,6725,13851,11292,2017,619,F
794,6725,14730,11292,2017,612,F
795,6725,14771,11292,2017,619,F
796,6003,12266,11109,2017,677,F
797,6460,11278,11292,2017,698,F
798,6460,11292,11423,2017,698,F
799,6460,11423,11292,2017,698,F
800,6200,11292,13244,2017,691,G
801,6200,13244,11292,2017,626,G
802,6904,11292,15370,2017,675,F
803,6904,15370,11292,2017,675,F
804,6932,11292,15177,2017,405,F
805,6932,15177,11292,2017,405,F
806,1177,10950,14107,2017,479,F
807,1177,14107,10950,2017,479,F
808,1260,11292,12953,2017,698,F
809,6700,13851,11292,2017,629,F
810,0A875,10821,11292,2017,614,F
811,0A875,11292,11603,2017,694,F
812,0A875,11292,12264,2017,694,F
813,0A875,11292,13495,2017,614,F
814,0A875,11292,13871,2017,634,F
815,0A875,11292,13891,2017,634,F
816,0A875,11292,14893,2017,614,F
817,0A875,11775,11292,2017,614,F
818,6725,11292,12264,2017,614,F
819,6725,12892,11292,2017,619,F
820,6725,13198,11292,2017,614,F
821,6725,14107,11292,2017,619,F
822,6460,11109,12892,2017,698,F
823,6460,12892,11109,2017,698,F
824,6904,11292,11986,2017,675,F
825,6673,11292,12478,2017,694,F
826,6673,12478,11292,2017,694,F
827,7041,11292,14683,2017,631,F
828,7041,14683,11292,2017,631,F
829,6700,11292,11603,2017,629,F
830,0A875,11292,13487,2017,694,F
831,0A875,11292,14492,2017,698,F
832,0A875,11292,14747,2017,614,F
833,0A875,11298,11292,2017,694,F
834,0A875,13342,11292,2017,614,F
835,0A875,13487,11292,2017,634,F
836,0A875,14893,11292,2017,694,F
837,6725,11292,10693,2017,619,F
838,6200,11638,11921,2017,622,G
839,6904,14783,11292,2017,675,F
840,6035,11193,11292,2017,698,F
841,6035,11292,11193,2017,698,F
842,1260,12953,11292,2017,698,F
843,6700,11292,14869,2017,631,F
844,6700,13367,11292,2017,629,F
845,0A875,11292,10620,2017,694,F
